time,ghi,ghi_clear_sky,day,GHI_daily_max_clearsky,GHI_percent_wrt_max
2023-06-01 03:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 03:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 03:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 03:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 03:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 04:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 05:00:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 05:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 05:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 05:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 05:40:00,5.0,1.08358659016514e-06,2023-06-01,935.7725117780128,0.5343178963976789
2023-06-01 05:50:00,11.0,2.953359001881268,2023-06-01,935.7725117780128,1.1754993720748936
2023-06-01 06:00:00,21.0,16.83936602268394,2023-06-01,935.7725117780128,2.244135164870251
2023-06-01 06:10:00,36.0,37.56633201567392,2023-06-01,935.7725117780128,3.847088854063288
2023-06-01 06:20:00,53.0,61.79041177123865,2023-06-01,935.7725117780128,5.663769701815396
2023-06-01 06:30:00,84.0,88.01238841466143,2023-06-01,935.7725117780128,8.976540659481005
2023-06-01 06:40:00,130.0,115.4954616706442,2023-06-01,935.7725117780128,13.89226530633965
2023-06-01 06:50:00,151.0,143.82882789978083,2023-06-01,935.7725117780128,16.136400471209903
2023-06-01 07:00:00,175.0,172.75519754668423,2023-06-01,935.7725117780128,18.70112637391876
2023-06-01 07:10:00,202.0,202.09615971683897,2023-06-01,935.7725117780128,21.586443014466223
2023-06-01 07:20:00,231.0,231.7168863872809,2023-06-01,935.7725117780128,24.68548681357277
2023-06-01 07:30:00,261.0,261.5081490602087,2023-06-01,935.7725117780128,27.89139419195884
2023-06-01 07:40:00,292.0,291.3765516693046,2023-06-01,935.7725117780128,31.204165149624448
2023-06-01 07:50:00,318.0,321.23897646916754,2023-06-01,935.7725117780128,33.982618210892376
2023-06-01 08:00:00,350.0,351.01927983947127,2023-06-01,935.7725117780128,37.40225274783752
2023-06-01 08:10:00,384.0,380.64626843868024,2023-06-01,935.7725117780128,41.035614443341736
2023-06-01 08:20:00,414.0,410.05242914320365,2023-06-01,935.7725117780128,44.241521821727815
2023-06-01 08:30:00,445.0,439.17311972301934,2023-06-01,935.7725117780128,47.55429277939342
2023-06-01 08:40:00,476.0,467.94604983973494,2023-06-01,935.7725117780128,50.86706373705903
2023-06-01 08:50:00,507.0,496.3109481645708,2023-06-01,935.7725117780128,54.17983469472464
2023-06-01 09:00:00,538.0,524.2093634686506,2023-06-01,935.7725117780128,57.492605652390246
2023-06-01 09:10:00,568.0,551.5845307866358,2023-06-01,935.7725117780128,60.69851303077632
2023-06-01 09:20:00,599.0,578.3813143102458,2023-06-01,935.7725117780128,64.01128398844193
2023-06-01 09:30:00,628.0,604.5461807613666,2023-06-01,935.7725117780128,67.11032778754847
2023-06-01 09:40:00,658.0,630.0272026904482,2023-06-01,935.7725117780128,70.31623516593454
2023-06-01 09:50:00,686.0,654.7740814198355,2023-06-01,935.7725117780128,73.30841538576155
2023-06-01 10:00:00,727.0,678.7381837100304,2023-06-01,935.7725117780128,77.68982213622252
2023-06-01 10:10:00,755.0,701.8725878813148,2023-06-01,935.7725117780128,80.68200235604951
2023-06-01 10:20:00,654.0,724.1321347997822,2023-06-01,935.7725117780128,69.8887808488164
2023-06-01 10:30:00,711.0,745.4734902419748,2023-06-01,935.7725117780128,75.98000486774994
2023-06-01 10:40:00,346.0,765.8551946066002,2023-06-01,935.7725117780128,36.97479843071938
2023-06-01 10:50:00,610.0,785.237728547737,2023-06-01,935.7725117780128,65.18678336051683
2023-06-01 11:00:00,510.0,803.5835708486997,2023-06-01,935.7725117780128,54.50042543256325
2023-06-01 11:10:00,301.0,820.8572568486178,2023-06-01,935.7725117780128,32.165937363140266
2023-06-01 11:20:00,392.0,837.0254351904948,2023-06-01,935.7725117780128,41.890523077578024
2023-06-01 11:30:00,380.0,852.0569224062034,2023-06-01,935.7725117780128,40.608160126223595
2023-06-01 11:40:00,354.0,865.9227548334038,2023-06-01,935.7725117780128,37.82970706495566
2023-06-01 11:50:00,427.0,878.5962367407798,2023-06-01,935.7725117780128,45.63074835236178
2023-06-01 12:00:00,473.0,890.0529892777517,2023-06-01,935.7725117780128,50.54647299922042
2023-06-01 12:10:00,558.0,900.2709874486768,2023-06-01,935.7725117780128,59.62987723798096
2023-06-01 12:20:00,610.0,909.2306019033427,2023-06-01,935.7725117780128,65.18678336051683
2023-06-01 12:30:00,478.0,916.9146324101974,2023-06-01,935.7725117780128,51.0807908956181
2023-06-01 12:40:00,421.0,923.3083381261666,2023-06-01,935.7725117780128,44.98956687668456
2023-06-01 12:50:00,467.0,928.3994636408488,2023-06-01,935.7725117780128,49.905291523543205
2023-06-01 13:00:00,517.0,932.1782607104282,2023-06-01,935.7725117780128,55.248470487519995
2023-06-01 13:10:00,466.0,934.6375055744816,2023-06-01,935.7725117780128,49.79842794426367
2023-06-01 13:20:00,445.0,935.7725117780128,2023-06-01,935.7725117780128,47.55429277939342
2023-06-01 13:30:00,495.0,935.5811387227805,2023-06-01,935.7725117780128,52.89747174337021
2023-06-01 13:40:00,407.0,934.0637949988572,2023-06-01,935.7725117780128,43.49347676677106
2023-06-01 13:50:00,410.0,931.2234380053424,2023-06-01,935.7725117780128,43.81406750460967
2023-06-01 14:00:00,566.0,927.0655684984912,2023-06-01,935.7725117780128,60.48478587221725
2023-06-01 14:10:00,822.0,921.5982207207086,2023-06-01,935.7725117780128,87.84186216777842
2023-06-01 14:20:00,1067.0,914.8319480260658,2023-06-01,935.7725117780128,114.02343909126468
2023-06-01 14:30:00,646.0,906.7798040543632,2023-06-01,935.7725117780128,69.03387221458011
2023-06-01 14:40:00,596.0,897.4573195244394,2023-06-01,935.7725117780128,63.69069325060333
2023-06-01 14:50:00,385.0,886.882475484965,2023-06-01,935.7725117780128,41.14247802262128
2023-06-01 15:00:00,651.0,875.075668708147,2023-06-01,935.7725117780128,69.5681901109778
2023-06-01 15:10:00,423.0,862.0596802199581,2023-06-01,935.7725117780128,45.20329403524364
2023-06-01 15:20:00,387.0,847.8596329024659,2023-06-01,935.7725117780128,41.35620518118034
2023-06-01 15:30:00,385.0,832.5029488331915,2023-06-01,935.7725117780128,41.14247802262128
2023-06-01 15:40:00,518.0,816.0193024617264,2023-06-01,935.7725117780128,55.355334066799536
2023-06-01 15:50:00,741.0,798.4405705714762,2023-06-01,935.7725117780128,79.18591224613601
2023-06-01 16:00:00,897.0,779.8007793406882,2023-06-01,935.7725117780128,95.8566306137436
2023-06-01 16:10:00,879.0,760.1360488859478,2023-06-01,935.7725117780128,93.93308618671196
2023-06-01 16:20:00,854.0,739.4845371683931,2023-06-01,935.7725117780128,91.26149670472356
2023-06-01 16:30:00,603.0,717.8863753913929,2023-06-01,935.7725117780128,64.43873830556008
2023-06-01 16:40:00,732.0,695.3836165347291,2023-06-01,935.7725117780128,78.22414003262018
2023-06-01 16:50:00,471.0,672.0201701992165,2023-06-01,935.7725117780128,50.33274584066135
2023-06-01 17:00:00,406.0,647.841745503029,2023-06-01,935.7725117780128,43.38661318749153
2023-06-01 17:10:00,354.0,622.8957952871123,2023-06-01,935.7725117780128,37.82970706495566
2023-06-01 17:20:00,257.0,597.2314649020622,2023-06-01,935.7725117780128,27.463939874840698
